pop_id	population	latitude	longitude	family	urban_rural	sample_source	ethnic_origin	geographic_region	sample_size	test_date	source_url	retrieved_at
argentina-chiriguano-kir	Argentina Chiriguano KIR	23º 8' S	64º 3' W	Grandparents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	54	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Chiriguano%20KIR	2026-08-26
argentina-chubut-tehuelche	Argentina Chubut Tehuelche	45º 0' S	71º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	23	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Chubut%20Tehuelche	2026-08-26
argentina-corrientes	Argentina Corrientes	27º 30' S	58º 49' W	Not Known	Urban and Rural	Solid Organ Unrelated Donors	Mixed	South and Central America	155	2010	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Corrientes	2026-08-26
argentina-cuyo-region	Argentina Cuyo Region	32º 53' S	68º 49' W	Not Known	Urban and Rural	Other	Caucasoid	South and Central America	420	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Cuyo%20Region	2026-08-26
argentina-formosa-toba-mic	Argentina Formosa Toba MIC	26º 11' S	58º 11' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	94	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Formosa%20Toba%20MIC	2026-08-26
argentina-formosa-wichi-mic	Argentina Formosa Wichi MIC	26º 11' S	58º 11' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	42	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Formosa%20Wichi%20MIC	2026-08-26
argentina-gran-chaco-eastern-toba	Argentina Gran Chaco Eastern Toba	26º 11' S	58º 11' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	135 (A = 84, B = 116)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Gran%20Chaco%20Eastern%20Toba	2026-08-26
argentina-gran-chaco-mataco-wichi	Argentina Gran Chaco Mataco Wichi	27º 27' S	58º 59' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	49 (A = 44, B = 46)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Gran%20Chaco%20Mataco%20Wichi	2026-08-26
argentina-gran-chaco-western-toba-pilaga	Argentina Gran Chaco Western Toba Pilaga	27º 27' S	58º 59' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	19 (A = 10, B = 14)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Gran%20Chaco%20Western%20Toba%20Pilaga	2026-08-26
argentina-kir	Argentina KIR	34º 36' S	58º 22' W	Not Known	Urban and Rural	Other	Caucasoid	South and Central America	102	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20KIR	2026-08-26
argentina-kolla	Argentina Kolla	23º 11' S	65º 20' W	Not Known	Unknown	Anthropology Study	Amerindian	South and Central America	61	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Kolla	2026-08-26
argentina-la-plata	Argentina La Plata	34º 55' S	57º 57' W	Grandparents live at same location	Urban	Blood Donor	Caucasoid	South and Central America	100	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20La%20Plata	2026-08-26
argentina-mapuche	Argentina Mapuche	38º 57' S	68º 14' W	Not Known	Unknown	Anthropology Study	Amerindian	South and Central America	48 (DQA1 = 17, DRB1 = 43)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Mapuche	2026-08-26
argentina-rio-negro-mapuche	Argentina Rio Negro Mapuche	39º 30' S	68º 57' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	34	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Rio%20Negro%20Mapuche	2026-08-26
argentina-rosario-toba	Argentina Rosario Toba	32º 57' S	60º 39' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	86	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Rosario%20Toba	2026-08-26
argentina-salta-wichi	Argentina Salta Wichi	22º 17' S	63º 42' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	24	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Salta%20Wichi	2026-08-26
argentina-salta-wichi-kir	Argentina Salta Wichi KIR	23º 8' S	64º 2' W	Grandparents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	19	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Salta%20Wichi%20KIR	2026-08-26
argentina-salta-wichi-pop-2	Argentina Salta Wichi pop 2	23º 8' S	64º 20' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	19	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Salta%20Wichi%20pop%202	2026-08-26
armenia-ghegharkunik	Armenia Ghegharkunik	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	242	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20Ghegharkunik	2026-08-26
armenia-lori	Armenia Lori	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	102	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20Lori	2026-08-26
armenia-shirak	Armenia Shirak	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	76	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20Shirak	2026-08-26
armenia-syunik	Armenia Syunik	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	117	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20Syunik	2026-08-26
armenia-yerevan	Armenia Yerevan	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	445	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20Yerevan	2026-08-26
armenia-combined-regions	Armenia combined Regions	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	100	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20combined%20Regions	2026-08-26
armenia-living-in-iran	Armenia living in  Iran	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	85	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20living%20in%20%20Iran	2026-08-26
armenia-living-in-karabakh	Armenia living in Karabakh	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	445	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20living%20in%20Karabakh	2026-08-26
armenia-living-in-lebanon	Armenia living in Lebanon	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	368	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20living%20in%20Lebanon	2026-08-26
armenia-living-in-usa	Armenia living in USA	40º 11' N	44º 31' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Arab	Western Asia	233	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Armenia%20living%20in%20USA	2026-08-26
australia-cape-york-peninsula-aborigine	Australia Cape York Peninsula Aborigine	10º 41' S	142º 32' E	Not Known	Rural	Anthropology Study	Aust. Aboriginal	Australia	103 (B = 100, C = 89, DPB1 = 99, DQA1 = 99, DQB1 = 99, DRB1 = 99)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20Cape%20York%20Peninsula%20Aborigine	2026-08-26
australia-groote-eylandt-aborigine	Australia Groote Eylandt Aborigine	13º 58' S	136º 35' E	Not Known	Rural	Anthropology Study	Aust. Aboriginal	Australia	75	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20Groote%20Eylandt%20Aborigine	2026-08-26
australia-kimberly-aborigine	Australia Kimberly Aborigine	15º 46' S	128º 44' E	Not Known	Rural	Anthropology Study	Aust. Aboriginal	Australia	41 (A = 36, B = 38, C = 28, DPB1 = 38)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20Kimberly%20Aborigine	2026-08-26
australia-new-south-wales-aborigine	Australia New South Wales Aborigine	34º 0' S	147º 0' E	Not Known	Urban and Rural	Anthropology Study	Aust. Aboriginal	Australia	177	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20New%20South%20Wales%20Aborigine	2026-08-26
australia-new-south-wales-caucasian	Australia New South Wales Caucasian	33º 0' S	146º 0' E	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Australia	134	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20New%20South%20Wales%20Caucasian	2026-08-26
australia-queensland-brisbane-kir	Australia Queensland Brisbane KIR	27º 28' S	153º 1' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Australia	106	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20Queensland%20Brisbane%20KIR	2026-08-26
australia-south-aborigine-kir	Australia South Aborigine KIR	33º 55' S	151º 12' E	Not Known	Unknown	Anthropology Study	Aust. Aboriginal	Australia	67	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20South%20Aborigine%20KIR	2026-08-26
australia-south-and-east-caucasian	Australia South and East Caucasian	37º 48' S	144º 57' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Australia	1210	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20South%20and%20East%20Caucasian	2026-08-26
australia-west-caucasian	Australia West Caucasian	31º 5' S	115º 5' E	Not Known	Urban	Blood Donor	Caucasoid	Australia	891	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20West%20Caucasian	2026-08-26
australia-west-caucasian-kir	Australia West Caucasian KIR	31º 57' S	115º 51' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Australia	50	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20West%20Caucasian%20KIR	2026-08-26
australia-yuendumu-aborigine	Australia Yuendumu Aborigine	22º 15' S	131º 47' E	Not Known	Rural	Anthropology Study	Aust. Aboriginal	Australia	191 (DRB1 = 119)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Australia%20Yuendumu%20Aborigine	2026-08-26
austria	Austria	48º 13' N	16º 21' E	Not Known	Urban	Blood Donor	Caucasoid	Europe	200	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Austria	2026-08-26
austria-cord-bloods	Austria Cord Bloods	47º 4' N	15º 26' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	1368	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Austria%20Cord%20Bloods	2026-08-26
austria-pop-2	Austria pop 2	48º 12' N	16º 21' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	490	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Austria%20pop%202	2026-08-26
azerbaijan	Azerbaijan	40º 39' N	47º 47' W	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Western Asia	2301	2025	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Azerbaijan	2026-08-26
azores	Azores	37º 44' N	25º 40' W	Not Known	Unknown	Bone Marrow Registry	Caucasoid	Europe	1050	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Azores	2026-08-26
azores-central-islands	Azores Central Islands	38º 0' N	28º 0' W	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	59	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Azores%20Central%20Islands	2026-08-26
azores-oriental-islands	Azores Oriental Islands	36º 58' N	25º 6' W	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	43	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Azores%20Oriental%20Islands	2026-08-26
azores-terceira-island	Azores Terceira Island	38º 44' N	27º 19' W	Parents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	130	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Azores%20Terceira%20Island	2026-08-26
bangladesh-dhaka-bangalee	Bangladesh Dhaka Bangalee	23º 42' N	90º 22' E	Not Known	Urban and Rural	Anthropology Study	Asian	South Asia	141	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bangladesh%20Dhaka%20Bangalee	2026-08-26
belarus-brest-region	Belarus Brest Region	52º 0' N	24º 0' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	105	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belarus%20Brest%20Region	2026-08-26
belarus-gomel-region	Belarus Gomel Region	53º 54' N	28º 0' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	100	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belarus%20Gomel%20Region	2026-08-26
belarus-vitebsk-region	Belarus Vitebsk Region	55º 0' N	30º 0' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	70	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belarus%20Vitebsk%20Region	2026-08-26
belgium	Belgium	50º 50' N	4º 21' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	99	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belgium	2026-08-26
belgium-kir	Belgium KIR	50º 0' N	5º 0' E	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	148	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belgium%20KIR	2026-08-26
belgium-kir-pop-2	Belgium KIR pop 2	51º 2' N	3º 3' E	Not Known	Unknown	Other	Caucasoid	Europe	100	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belgium%20KIR%20pop%202	2026-08-26
belgium-pop-2	Belgium pop 2	50º 50' N	4º 21' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	715	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belgium%20pop%202	2026-08-26
belgium-pop-3	Belgium pop 3	51º 2' N	4º 28' E	Not Known	Urban and Rural	Bone Marrow Registry	Unknown	Europe	31412	2022	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Belgium%20pop%203	2026-08-26
bolivia-la-paz-aymaras	Bolivia La Paz Aymaras	16º 29' S	68º 7' W	Grandparents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	87	2018	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bolivia%20La%20Paz%20Aymaras	2026-08-26
bolivia-quechua	Bolivia Quechua	16º 30' S	68º 9' W	Grandparents live at same location	Urban	Anthropology Study	Amerindian	South and Central America	69	2019	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bolivia%20Quechua	2026-08-26
bolivia-chile-aymara-na-dhs-13-g	Bolivia/Chile Aymara NA-DHS_13 (G)	22º 0' S	70º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	20	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bolivia/Chile%20Aymara%20NA-DHS_13%20%28G%29	2026-08-26
bolivia-peru-quechua-na-dhs-12-g	Bolivia/Peru Quechua NA-DHS_12 (G)	14º 0' S	74º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	21	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bolivia/Peru%20Quechua%20NA-DHS_12%20%28G%29	2026-08-26
borneo-bandjarmasin	Borneo Bandjarmasin	3º 20' S	114º 35' E	Not Known	Urban	Anthropology Study	Austronesian	Oceania	21	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Borneo%20Bandjarmasin	2026-08-26
borneo-kalimantan-kir	Borneo Kalimantan KIR	2º 13' S	113º 55' E	Not Known	Rural	Anthropology Study	Austronesian	Oceania	48	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Borneo%20Kalimantan%20KIR	2026-08-26
bosnia-and-herzegovina	Bosnia and Herzegovina	43º 52' N	18º 25' E	Not Known	Unknown	Solid Organ Unrelated Donors	Caucasoid	Europe	134	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bosnia%20and%20Herzegovina	2026-08-26
bosnia-and-herzegovina-pop-2	Bosnia and Herzegovina pop 2	44º 32' N	18º 41' E	Not Known	Unknown	Solid Organ Unrelated Donors	Caucasoid	Europe	120	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Bosnia%20and%20Herzegovina%20pop%202	2026-08-26
brazil-paran-caucasian	Brazil   Paraná Caucasian	23º 25' S	51º 55' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	South and Central America	641	2014	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20%20%20Paran%C3%A1%20Caucasian	2026-08-26
brazil-puyanawa	Brazil  Puyanawa	10º 52' S	53º 5' W	Not Known	Urban and Rural	Disease Study Patients	Other	South and Central America	150	2016	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20%20Puyanawa	2026-08-26
brazil-amazon-kir	Brazil Amazon KIR	6º 49' S	35º 45' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	40	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Amazon%20KIR	2026-08-26
brazil-bahia-ilh-us-kir	Brazil Bahia Ilhéus KIR	14º 47' S	39º 2' W	Not Known	Urban and Rural	Anthropology Study	Mixed	South and Central America	102	2018	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Bahia%20Ilh%C3%A9us%20KIR	2026-08-26
brazil-barra-mansa-rio-state-black	Brazil Barra Mansa Rio State Black	22º 32' S	44º 10' W	Not Known	Urban	Bone Marrow Registry	Unknown	South and Central America	73 (C = 70, DPA1 = 35, DPB1 = 62, DQB1 = 70)	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Barra%20Mansa%20Rio%20State%20Black	2026-08-26
brazil-barra-mansa-rio-state-caucasian	Brazil Barra Mansa Rio State Caucasian	22º 32' S	44º 10' W	Not Known	Urban	Bone Marrow Registry	Caucasoid	South and Central America	405 (C = 369, DPA1 = 218, DPB1 = 338, DQB1 = 374)	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Barra%20Mansa%20Rio%20State%20Caucasian	2026-08-26
brazil-belem-mixed	Brazil Belem Mixed	1º 27' S	48º 30' W	Not Known	Urban	Controls for Disease Study	Mixed	South and Central America	100	2010	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Belem%20Mixed	2026-08-26
brazil-belem-mixed-kir	Brazil Belem Mixed KIR	1º 27' S	48º 30' W	Not Known	Unknown	Controls for Disease Study	Mixed	South and Central America	347	2010	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Belem%20Mixed%20KIR	2026-08-26
brazil-belo-horizonte-caucasian	Brazil Belo Horizonte Caucasian	19º 55' S	43º 56' W	Not Known	Urban	Anthropology Study	Caucasoid	South and Central America	95	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Belo%20Horizonte%20Caucasian	2026-08-26
brazil-belo-horizonte-caucasian-kir	Brazil Belo Horizonte Caucasian KIR	19º 55' S	43º 55' W	Not Known	Urban	Other	Caucasoid	South and Central America	90	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Belo%20Horizonte%20Caucasian%20KIR	2026-08-26
brazil-central-plateau-xavante	Brazil Central Plateau Xavante	15º 35' S	56º 5' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	74	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Central%20Plateau%20Xavante	2026-08-26
brazil-curitiba-japanese-kir	Brazil Curitiba Japanese KIR	25º 25' S	49º 16' W	Not Known	Urban	Anthropology Study	Asian	South and Central America	51	2015	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Curitiba%20Japanese%20KIR	2026-08-26
brazil-curitiba-kir	Brazil Curitiba KIR	25º 25' S	49º 16' W	Not Known	Urban	Anthropology Study	Caucasoid	South and Central America	164	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Curitiba%20KIR	2026-08-26
brazil-curitiba-parana-mixed	Brazil Curitiba-Parana Mixed	25º 25' S	49º 16' W	Not Known	Urban	Anthropology Study	Mixed	South and Central America	264	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Curitiba-Parana%20Mixed	2026-08-26
brazil-east-amazon	Brazil East Amazon	3º 6' S	60º 1' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	41	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20East%20Amazon	2026-08-26
brazil-guarani-kaiowa	Brazil Guarani Kaiowa	23º 0' S	55º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	155	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20Kaiowa	2026-08-26
brazil-guarani-kaiow-kir	Brazil Guarani Kaiowá KIR	23º 6' S	55º 12' W	Parents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	96	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20Kaiow%C3%A1%20KIR	2026-08-26
brazil-guarani-m-bya	Brazil Guarani M bya	25º 0' S	52º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	93	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20M%20bya	2026-08-26
brazil-guarani-mby-kir	Brazil Guarani MByá KIR	25º 18' S	52º 32' W	Parents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	81	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20MBy%C3%A1%20KIR	2026-08-26
brazil-guarani-nandeva	Brazil Guarani Nandeva	23º 0' S	54º 0' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	86	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20Nandeva	2026-08-26
brazil-guarani-andeva-kir	Brazil Guarani Ñandeva KIR	23º 48' S	54º 30' W	Parents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	50	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Guarani%20%C3%91andeva%20KIR	2026-08-26
brazil-kaingang	Brazil Kaingang	24º 30' S	51º 40' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	235	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Kaingang	2026-08-26
brazil-kaingang-kir	Brazil Kaingang KIR	25º 18' S	52º 32' W	Parents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	100	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Kaingang%20KIR	2026-08-26
brazil-limao-verde-and-corrego-reserve-terena-mic	Brazil Limao Verde and Corrego Reserve Terena MIC	15º 35' S	56º 5' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	60	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Limao%20Verde%20and%20Corrego%20Reserve%20Terena%20MIC	2026-08-26
brazil-mato-grosso-do-sul	Brazil Mato Grosso do Sul	15º 47' S	47º 52' W	Parents live at same location	Unknown	Controls for Disease Study	Mixed	South and Central America	203	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Mato%20Grosso%20do%20Sul	2026-08-26
brazil-mato-grosso-do-sul-campo-grande-kir	Brazil Mato Grosso do Sul Campo Grande KIR	20º 27' S	54º 36' W	Not Known	Urban and Rural	Controls for Disease Study	Mixed	South and Central America	206	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Brazil%20Mato%20Grosso%20do%20Sul%20Campo%20Grande%20KIR	2026-08-26
