country,population_thousands,crude_birth_rate,who_hbs_region,surveys,hbs_af,hbs_af_iqr_lower,hbs_af_iqr_upper,as_neonates_per_year,as_iqr_lower,as_iqr_upper,ss_neonates_per_year,ss_iqr_lower,ss_iqr_upper,modell_darlison_ss,modell_darlison_outside_flag
Ireland,4588,0.0156,EURO/Eurasia,0,0.001,0.0,0.003,60,5,447,0,0,4,0,
Italy,60119,0.0091,EURO/Eurasia,41,0.005,0.003,0.009,5635,3028,10363,91,37,236,3,**
Jamaica,2730,0.0179,AMRO/Americas,4,0.037,0.029,0.048,3998,3282,4820,137,99,189,172,
Japan,126995,0.0085,WPRO/Southeast Asia,1,0.0,0.0,0.0,0,0,0,0,0,0,0,
Jordan,6461,0.0237,EMRO/Eurasia,2,0.017,0.012,0.026,6365,4245,9313,145,80,260,4,**
Kazakhstan,15758,0.0206,EURO/Eurasia,0,0.0,0.0,0.0,1,0,11,0,0,0,0,
Kenya,40835,0.0369,AFRO/Sub‐Saharan Africa,51,0.038,0.034,0.043,98471,89175,108467,4475,3879,5137,7872,**
"Korea, Democratic People's Republic of",23963,0.0142,SEAR/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
"Korea, Republic of",48517,0.0099,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Kuwait,3050,0.0174,EMRO/Arab‐India,0,0.031,0.014,0.065,3824,1878,6476,116,36,293,37,
Kyrgyzstan,5545,0.024,EURO/Eurasia,0,0.0,0.0,0.0,0,0,1,0,0,0,0,
Lao People's Democratic Republic,6434,0.0218,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Latvia,2241,0.011,EURO/Eurasia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Lebanon,4237,0.0149,EMRO/Eurasia,1,0.049,0.033,0.071,6382,4808,8044,251,152,382,6,**
Lesotho,2064,0.0271,AFRO/Sub‐Saharan Africa,0,0.001,0.0,0.003,40,4,244,0,0,2,0,
Liberia,4102,0.0376,AFRO/Sub‐Saharan Africa,15,0.046,0.038,0.057,13217,11487,14919,562,443,714,105,**
Libyan Arab Jamahiriya,6546,0.0217,EMRO/Eurasia,4,0.021,0.015,0.027,6020,4673,7559,188,128,267,34,**
Lithuania,3256,0.0108,EURO/Eurasia,0,0.0,0.0,0.0,0,0,1,0,0,0,0,
Luxembourg,493,0.0118,EURO/Eurasia,0,0.005,0.003,0.008,48,20,105,0,0,1,0,
Madagascar,20146,0.0346,AFRO/Sub‐Saharan Africa,37,0.061,0.053,0.07,69295,63138,75644,3379,2902,3915,2084,**
Malawi,15690,0.0445,AFRO/Sub‐Saharan Africa,15,0.033,0.023,0.05,47370,35308,61509,1688,1029,2765,917,*
Malaysia,27949,0.0198,WPRO/Southeast Asia,6,0.0,0.0,0.0,1,0,14,0,0,0,0,
Maldives,314,0.0165,SEAR/Eurasia,0,0.0,0.0,0.0,0,0,1,0,0,0,0,*
Mali,13362,0.045,AFRO/Sub‐Saharan Africa,8,0.057,0.044,0.072,56236,47355,65909,2701,2068,3509,4421,*
Malta,410,0.0091,EURO/Eurasia,0,0.015,0.007,0.031,143,61,284,2,1,8,0,**
Martinique,406,0.0116,AMRO/Americas,1,0.035,0.025,0.049,391,300,496,12,8,19,9,
Mauritania,3359,0.0327,AFRO/Sub‐Saharan Africa,1,0.05,0.03,0.085,9505,6585,12929,433,240,748,159,*
Mauritius,1297,0.0125,AFRO/Sub‐Saharan Africa,0,0.0,0.0,0.001,0,0,19,0,0,0,1,*
Mayotte,199,0.0326,AFRO/Sub‐Saharan Africa,0,0.027,0.01,0.07,447,168,863,12,2,40,0,*
Mexico,110567,0.0185,AMRO/Americas,34,0.007,0.005,0.009,31120,23289,41145,641,422,975,105,**
"Micronesia, Federated States of",112,0.0242,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
"Moldova, Republic of",3538,0.0121,*/Eurasia,0,0.0,0.0,0.001,1,0,22,0,0,0,0,
Mongolia,2706,0.0227,WPRO/Eurasia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Montenegro,654,0.012,EURO/Eurasia,0,0.005,0.002,0.012,72,16,226,1,0,4,0,*
Morocco,31943,0.0187,EMRO/Eurasia,0,0.003,0.001,0.008,3202,824,10051,40,6,215,118,
Mozambique,23418,0.0363,AFRO/Sub‐Saharan Africa,14,0.027,0.021,0.035,42588,34837,51562,1645,1193,2235,170,**
Myanmar,50503,0.0167,SEAR/Southeast Asia,6,0.0,0.0,0.0,40,5,222,0,0,1,0,
Namibia,2212,0.0252,AFRO/Sub‐Saharan Africa,8,0.01,0.006,0.015,1138,730,1806,30,17,55,10,*
Nepal,29950,0.0232,SEAR/Arab‐India,1,0.002,0.001,0.004,1558,357,4805,11,1,67,0,**
Netherlands,16649,0.0108,EURO/Eurasia,2,0.011,0.008,0.016,4759,3163,6819,82,43,149,10,**
Netherlands Antilles,201,0.0131,AMRO/Americas,2,0.023,0.016,0.032,150,105,203,4,2,6,9,*
New Caledonia,254,0.0159,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
New Zealand,4303,0.0143,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,9,**
Nicaragua,5822,0.0228,AMRO/Americas,0,0.023,0.009,0.054,6514,2641,12964,204,53,576,4,*
Niger,15885,0.0477,AFRO/Sub‐Saharan Africa,7,0.08,0.058,0.111,90671,73050,109417,4965,3543,6894,6046,
Nigeria,158255,0.0393,AFRO/Sub‐Saharan Africa,24,0.171,0.153,0.192,1136909,1070320,1200907,85186,76413,94945,77192,
Norway,4856,0.0123,EURO/Eurasia,0,0.0,0.0,0.0,0,0,13,0,0,0,2,*
Oman,2962,0.0169,EMRO/Arab‐India,2,0.001,0.0,0.001,32,9,94,0,0,1,222,**
Pakistan,184754,0.0263,EMRO/Arab‐India,1,0.002,0.001,0.005,18962,7260,47537,228,53,892,101,
Panama,3508,0.0191,AMRO/Americas,3,0.03,0.019,0.046,4457,3053,6176,140,77,244,8,**
Papua New Guinea,6886,0.029,WPRO/Southeast Asia,1,0.0,0.0,0.0,0,0,0,0,0,0,0,
Paraguay,6462,0.0237,AMRO/Americas,0,0.003,0.001,0.006,664,178,2093,7,1,36,0,**
Peru,29493,0.0196,AMRO/Americas,10,0.0,0.0,0.0,2,0,22,0,0,0,25,**
Philippines,93617,0.0245,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Poland,38049,0.0109,EURO/Eurasia,0,0.0,0.0,0.001,59,3,590,0,0,4,0,
Portugal,10229,0.0088,EURO/Eurasia,2,0.01,0.007,0.017,2170,1303,3598,41,19,90,3,**
Puerto Rico,3998,0.0129,AMRO/Americas,1,0.004,0.002,0.006,326,127,710,2,1,8,23,*
Qatar,1508,0.0116,EMRO/Arab‐India,0,0.032,0.015,0.068,1365,668,2262,41,12,104,7,*
Réunion,837,0.0169,*/,0,0.001,0.0,0.004,6,0,110,0,0,1,1,*
Romania,21209,0.0103,EURO/Eurasia,0,0.001,0.0,0.004,320,45,1500,2,0,21,0,*
Russian Federation,140324,0.0118,EURO/Eurasia,0,0.0,0.0,0.0,14,1,135,0,0,0,0,
Rwanda,10277,0.0406,AFRO/Sub‐Saharan Africa,2,0.023,0.018,0.029,22857,18400,28098,601,423,846,125,**
Saint Lucia,174,0.0169,AMRO/Americas,1,0.049,0.031,0.074,311,223,402,12,6,19,7,
Saint Vincent and the Grenadines,109,0.0164,AMRO/Americas,0,0.045,0.022,0.086,176,99,262,6,2,13,2,
Samoa,530,0.0237,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Saudi Arabia,26207,0.0214,EMRO/Arab‐India,28,0.018,0.016,0.021,19447,17012,22221,691,572,842,5397,**
Sao Tome and Principe,165,0.0299,AFRO/Sub‐Saharan Africa,0,0.094,0.033,0.236,763,376,1132,41,12,92,49,
Senegal,12866,0.0359,AFRO/Sub‐Saharan Africa,20,0.067,0.054,0.082,53002,46123,60123,2535,1998,3163,1895,*
Serbia,9842,0.011,EURO/Eurasia,0,0.004,0.002,0.01,830,225,2417,10,1,49,0,**
Sierra Leone,5837,0.0365,AFRO/Sub‐Saharan Africa,0,0.164,0.108,0.24,39530,31971,47084,2838,1906,4018,3243,
Singapore,4777,0.0095,WPRO/Southeast Asia,1,0.0,0.0,0.0,0,0,0,0,0,0,0,
Slovakia,5406,0.0107,EURO/Eurasia,0,0.001,0.0,0.002,12,0,125,0,0,1,0,
Slovenia,2027,0.0099,EURO/Eurasia,0,0.001,0.0,0.005,22,2,176,0,0,2,0,
Solomon Islands,536,0.0304,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Somalia,9359,0.043,EMRO/Sub‐Saharan Africa,2,0.002,0.001,0.005,1192,321,3777,13,2,69,0,*
South Africa,50523,0.0205,AFRO/Sub‐Saharan Africa,3,0.003,0.002,0.004,4946,2617,8872,73,28,177,0,**
Spain,45322,0.0106,EURO/Eurasia,4,0.007,0.004,0.012,7324,4253,12071,149,64,341,0,**
Sri Lanka,20410,0.017,SEAR/Arab‐India,28,0.001,0.001,0.002,425,295,590,2,1,3,0,**
Sudan,43182,0.0319,AFRO/Sub‐Saharan Africa,32,0.043,0.034,0.055,98244,84697,113554,4567,3527,5894,483,**
Suriname,524,0.0178,AMRO/Americas,0,0.03,0.013,0.066,653,300,1162,19,6,53,13,
Swaziland,1195,0.0287,AFRO/Sub‐Saharan Africa,0,0.006,0.003,0.01,398,173,813,4,1,13,1,
Sweden,9292,0.012,EURO/Eurasia,0,0.0,0.0,0.001,2,0,41,0,0,0,4,*
Switzerland,7597,0.01,EURO/Eurasia,0,0.004,0.002,0.011,622,145,1907,6,1,36,0,*
Syrian Arab Republic,22627,0.0219,EMRO/Eurasia,4,0.025,0.019,0.033,24448,19056,31267,901,664,1261,66,**
Tajikistan,7078,0.0277,EURO/Eurasia,0,0.0,0.0,0.0,0,0,6,0,0,0,0,
"Tanzania, United Republic of",45028,0.041,AFRO/Sub‐Saharan Africa,57,0.074,0.063,0.087,203747,185237,222866,11022,9327,12897,8655,*
Thailand,68141,0.0115,SEAR/Southeast Asia,0,0.0,0.0,0.0,0,0,10,0,0,0,0,
Timor‐Leste,1167,0.0376,SEAR/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Togo,6774,0.031,AFRO/Sub‐Saharan Africa,4,0.125,0.105,0.149,34057,31180,36958,2175,1846,2540,1746,*
Trinidad and Tobago,1344,0.0143,AMRO/Americas,1,0.038,0.026,0.056,1648,1207,2154,56,33,91,30,*
Tonga,104,0.0257,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Tunisia,10374,0.0165,EMRO/Eurasia,12,0.011,0.009,0.013,4420,3623,5372,81,58,113,63,
Turkey,75699,0.0169,EURO/Eurasia,45,0.005,0.004,0.007,12852,9281,20051,330,248,526,116,**
Turkmenistan,5178,0.0212,EURO/Eurasia,0,0.0,0.0,0.001,4,0,54,0,0,0,0,
Uganda,33798,0.0439,AFRO/Sub‐Saharan Africa,11,0.082,0.067,0.1,189801,169157,210719,10143,8223,12325,8216,*
Ukraine,45454,0.0109,EURO/Eurasia,0,0.0,0.0,0.001,33,2,293,0,0,2,0,
United Arab Emirates,4647,0.0123,EMRO/Arab‐India,2,0.004,0.002,0.007,402,189,827,4,1,11,24,*
United Kingdom,61900,0.0121,EURO/Eurasia,4,0.009,0.007,0.013,15746,10982,21949,296,163,517,108,*
United States of America,317736,0.0137,AMRO/Americas,25,0.011,0.009,0.014,100150,82111,122520,2843,2038,3968,838,**
Uruguay,3373,0.0145,AMRO/Americas,0,0.001,0.001,0.003,82,26,231,1,0,3,0,**
Uzbekistan,27790,0.0208,EURO/Eurasia,0,0.0,0.0,0.0,1,0,24,0,0,0,0,
Vanuatu,246,0.0287,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
"Venezuela, Bolivarian Republic of",29044,0.0198,AMRO/Americas,40,0.014,0.012,0.017,19272,16150,22799,435,325,591,108,**
Viet Nam,89009,0.0159,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,4,0,0,0,0,
"Virgin Islands, U.S.",109,0.0121,*/,0,0.008,0.004,0.018,25,8,59,0,0,1,4,*
Western Sahara,441,0.0213,*/,0,0.007,0.003,0.017,144,51,330,3,1,10,2,
Yemen,24325,0.0372,EMRO/Sub‐Saharan Africa,1,0.004,0.002,0.006,6411,3355,12043,80,29,207,119,
Zambia,13254,0.0465,AFRO/Sub‐Saharan Africa,11,0.112,0.095,0.133,88801,80963,96982,5652,4801,6632,3346,**
Zimbabwe,12645,0.0287,AFRO/Sub‐Saharan Africa,7,0.021,0.016,0.028,16345,12706,20982,483,326,704,162,**
